"place","lat","lon","family","type","years","comments","place_year"
"Поротниково","53.746058","82.006852","суз","","1765-1816","**1765:** Григорий Федосеевич переехал из д. Верх-Сузун<br>**1816:** у Алексея Саввича родилась дочь<br>**1826:** по ИР нет Мурзинцевых<br>**1867:** Агафья Павловна, племянница в семье дяди Мирона Елчина","Поротниково (1765-1816)"
"Промышленная","54.916724","85.63746","","","1940-е","Исаак Степанович (из д. Русаково) на мемориале погибшим в ВОВ","Промышленная (1940-е)"
"Речкуново","53.495732","83.338028","суз","","1759","**1759:** по ИР живёт Иван Трофимович, 30 лет, с сёстрами (из с. Касмала) в семье Семьяновых","Речкуново (1759)"
"Романово","53.968167","80.495068","поздние","","с 1900","**1900:** Максим Михайлович приехал из Воронежской обл.","Романово (с 1900)"
"Рубцовск","51.527623","81.217673","","","с 1913","**1913:** песелился Андрей Дмитриевич из Семипалатинской обл.<br>Мурзинцевы продолжали жить до XXI века","Рубцовск (с 1913)"
"Русаково","55.22641","84.891217","сел","","с 1895","**1895:** Елизавета Платоновна (из д. Селезнево) родила дочь<br>**1924:** у Исаака Степановича родился сын","Русаково (с 1895)"
"Савинская","52.955612","82.705023","чаус","","1808-1810","(совр. с. Зимино, Ребрихинский район)<br>**1806:** по ИР нет Мурзинцевых<br>**1808:** по ИР живёт 1 семья (из д. Кокуйская)<br>**1810:** родилась Степанида Петровна<br>**1813:** по ИР нет Мурзинцевых (уехали в Усть-Чарышскую пристань)","Савинская (1808-1810)"
"Сакмарино","53.532184","82.113275","суз","","до 1961","Иван Иванович (в 1961 переехал в с. Киприно)","Сакмарино (до 1961)"
"Саламатово","55.155463","84.769791","","","1914","Ошибка писаря:<br>**1914:** у Ионы Федоровича Муромцева(!) умер сын","Саламатово (1914)"
"Селезнево","53.497476","82.161395","сел","","с 1755","(деревня основана ок. 1755)<br>**1755:** по ИР живёт 1 семья<br>Мурзинцевы продолжали жить до XX века","Селезнево (с 1755)"
"Селенгинск","52.005386","106.862616","","","1762","**1762:** Порфирий, каптенармус","Селенгинск (1762)"
"Сенное","49.580461","84.791387","","","1884","**1884:** Павел Дмитриевич переселился из с. Зыряновское","Сенное (1884)"
"Смоленский редут","52.304238","85.075236","","","1836, 1902","**1836:** свадьба Александра Васильевича, мещанина г. Курган<br>**1902:** акушерка Евгения Петровна (из г. Томск)","Смоленский редут (1836, 1902)"
"Смолино","55.178521","86.343165","","church","1858, 1866","**1858:** ??? Георгиевич, поселенец из с. Спасское<br>**1866:** (Гордей?) Иванович из с. Спасское в приходе церкви","Смолино (1858, 1866)"
"Советский Путь","51.131513","81.27664","","","1938","**1938:** Екатерина в колхозе ""Советский путь""","Советский Путь (1938)"
"Сопляково","53.656163","81.680404","суз","","1775-1839","(совр. с. Обское)<br>**1775:** у Терентия Ивановича (из д. Верх-Сузун) родилась дочь<br>**1781:** Тихон Ефимович самовольно переехал из д. Верх-Сузун<br>**1839:** у Семена Мартыновича родился сын","Сопляково (1775-1839)"
"Сросты","51.886953","81.013827","суз","","1836","**1836:** у бергаера Петра Дементьевича (из д. Ершёво) родился сын","Сросты (1836)"
"Степной Кучук","52.59815","80.34964","поздние","","с 1908","**1908:** Григорий Филиппович приехал из Полтавской губ.","Степной Кучук (с 1908)"
"Сузун","53.790385","82.312408","","factory","","(до 1933 Сузун-завод)<br><br>в приходе Вознесенской церкви:<br>- Верх-Сузун (до 1859)<br><br>На Нижне-Сузунском заводе работали рекруты из всех трёх основных родов Мурзинцевых. Крестьяне близлежащих деревень, включая жителей Чауса, выполняли заводские работы.","Сузун"
"Татарка","49.3797","85.9076","суз","","1792","**1792:** каменщик Матвей Мурзинцев (возможно, Матвей Иванович из д. Верх-Сузун)","Татарка (1792)"
"Тебеняк","56.165408","65.437364","сел","","1710","**1710:** Емельян Аверьянович<br>(в 1721 он в д. Верх-Сузун)","Тебеняк (1710)"
"Терсинский руд.","54.654221","88.576656","","mine","1841-1845","(он же Петропавловский рудник)<br>**1841:** Трофим Васильевич работает на руднике<br>**1845:** у Трофима Васильевича родилась дочь","Терсинский руд. (1841-1845)"
"Тобольск","58.205197","68.243028","","","","**1854:** у землемера Михаила Прокопьевича (из г. Томск) родился сын<br>**1860:** Михаил Прокопьевич умер","Тобольск"
"Томск","56.487209","84.944655","","","с 1837","**1837:** землемер Михаил Прокопьевич (из д. Селезнево; в 1835 жил на Колыванском заводе)<br>**1903:** у Синклитикии Филипповны (из д. Колпашево) умерла дочь","Томск (с 1837)"
"Томский завод","53.610075","86.492014","суз","factory","1816","**1816:** на заводе Алексей Саввич из д. Поротниково<br>(в 1822 Алексей Саввич в с. Сузун)","Томский завод (1816)"
